attack_type,eps,targeted,target_strategy,target_class,dataset_label,identity_id,identity_name,identity_dir,source_image_path,adversarial_image_path,linf,mean_abs_perturbation,true_facenet_id,clean_pred_class,adv_pred_class,adv_target_class_confidence,clean_correct_nn2,adv_correct_nn2,target_success_nn2,untargeted_success_nn2
pgd_error_specific,0.001,True,least-likely,361,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0000.tiff,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_001/000_n007726_Samantha_Ruth_Prabhu/0000.tiff,0.001,0.000858,7185,7185,7185,3.322561e-11,1,1,0,0
pgd_error_specific,0.001,True,least-likely,4660,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0001.tiff,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_001/000_n007726_Samantha_Ruth_Prabhu/0001.tiff,0.001,0.000846,7185,7185,7185,3.5440203e-11,1,1,0,0
pgd_error_specific,0.001,True,least-likely,4876,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0002.tiff,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_001/000_n007726_Samantha_Ruth_Prabhu/0002.tiff,0.001,0.00086,7185,7185,7185,4.2063705e-12,1,1,0,0
pgd_error_specific,0.001,True,least-likely,4952,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0003.tiff,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_001/000_n007726_Samantha_Ruth_Prabhu/0003.tiff,0.001,0.000868,7185,7185,7185,1.3286694e-09,1,1,0,0
pgd_error_specific,0.001,True,least-likely,4669,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0004.tiff,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_001/000_n007726_Samantha_Ruth_Prabhu/0004.tiff,0.001,0.000859,7185,7185,7185,2.3491799e-12,1,1,0,0
pgd_error_specific,0.001,True,least-likely,8495,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0005.tiff,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_001/000_n007726_Samantha_Ruth_Prabhu/0005.tiff,0.001,0.000863,7185,7185,4242,1.8300121e-09,1,0,0,1
pgd_error_specific,0.001,True,least-likely,6288,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0006.tiff,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_001/000_n007726_Samantha_Ruth_Prabhu/0006.tiff,0.001,0.000863,7185,7185,7185,1.0980685e-09,1,1,0,0
pgd_error_specific,0.001,True,least-likely,5216,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0007.tiff,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_001/000_n007726_Samantha_Ruth_Prabhu/0007.tiff,0.001,0.000853,7185,7185,7185,3.169195e-09,1,1,0,0
pgd_error_specific,0.001,True,least-likely,6536,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0008.tiff,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_001/000_n007726_Samantha_Ruth_Prabhu/0008.tiff,0.001,0.000865,7185,7185,7185,4.8275334e-10,1,1,0,0
pgd_error_specific,0.001,True,least-likely,7422,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0009.tiff,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_001/000_n007726_Samantha_Ruth_Prabhu/0009.tiff,0.001,0.000863,7185,7185,7185,5.4431126e-09,1,1,0,0
pgd_error_specific,0.001,True,least-likely,8034,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0000.tiff,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_001/001_n002771_Felix_Neureuther/0000.tiff,0.001,0.000867,2585,2585,2585,1.6289777e-12,1,1,0,0
pgd_error_specific,0.001,True,least-likely,5020,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0001.tiff,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_001/001_n002771_Felix_Neureuther/0001.tiff,0.001,0.000864,2585,2585,2585,1.3075632e-08,1,1,0,0
pgd_error_specific,0.001,True,least-likely,8034,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0002.tiff,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_001/001_n002771_Felix_Neureuther/0002.tiff,0.001,0.000867,2585,2585,2585,1.0537238e-10,1,1,0,0
pgd_error_specific,0.001,True,least-likely,7728,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0003.tiff,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_001/001_n002771_Felix_Neureuther/0003.tiff,0.001,0.000868,2585,2585,2585,2.3375067e-12,1,1,0,0
pgd_error_specific,0.001,True,least-likely,2900,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0004.tiff,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_001/001_n002771_Felix_Neureuther/0004.tiff,0.001,0.000863,2585,2585,2585,2.307948e-11,1,1,0,0
pgd_error_specific,0.001,True,least-likely,7562,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0005.tiff,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_001/001_n002771_Felix_Neureuther/0005.tiff,0.001,0.000856,2585,2585,2585,6.1806077e-10,1,1,0,0
pgd_error_specific,0.001,True,least-likely,3347,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0006.tiff,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_001/001_n002771_Felix_Neureuther/0006.tiff,0.001,0.000867,2585,2585,2585,6.965865e-09,1,1,0,0
pgd_error_specific,0.001,True,least-likely,2319,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0008.tiff,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_001/001_n002771_Felix_Neureuther/0008.tiff,0.001,0.000862,2585,2585,2585,5.1726106e-11,1,1,0,0
pgd_error_specific,0.001,True,least-likely,3481,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0009.tiff,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_001/001_n002771_Felix_Neureuther/0009.tiff,0.001,0.000868,2585,2585,2585,8.438879e-09,1,1,0,0
pgd_error_specific,0.001,True,least-likely,6720,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0000.tiff,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_001/002_n006115_Mike_Posner/0000.tiff,0.001,0.000862,5658,5658,5658,3.6263106e-08,1,1,0,0
pgd_error_specific,0.001,True,least-likely,4438,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0001.tiff,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_001/002_n006115_Mike_Posner/0001.tiff,0.001,0.000858,5658,5658,5658,3.023782e-10,1,1,0,0
pgd_error_specific,0.001,True,least-likely,6773,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0002.tiff,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_001/002_n006115_Mike_Posner/0002.tiff,0.001,0.000872,5658,5658,5658,7.3797133e-09,1,1,0,0
pgd_error_specific,0.001,True,least-likely,2689,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0004.tiff,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_001/002_n006115_Mike_Posner/0004.tiff,0.001,0.000853,5658,5658,5658,2.6151335e-11,1,1,0,0
pgd_error_specific,0.001,True,least-likely,7543,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0005.tiff,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_001/002_n006115_Mike_Posner/0005.tiff,0.001,0.000856,5658,5658,7081,8.404928e-09,1,0,0,1
pgd_error_specific,0.001,True,least-likely,6656,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0006.tiff,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_001/002_n006115_Mike_Posner/0006.tiff,0.001,0.000857,5658,5658,5658,9.30819e-11,1,1,0,0
pgd_error_specific,0.001,True,least-likely,5706,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0007.tiff,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_001/002_n006115_Mike_Posner/0007.tiff,0.001,0.000837,5658,5658,5658,2.1441682e-10,1,1,0,0
pgd_error_specific,0.001,True,least-likely,7661,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0008.tiff,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_001/002_n006115_Mike_Posner/0008.tiff,0.001,0.000864,5658,5658,5658,8.0804e-10,1,1,0,0
pgd_error_specific,0.001,True,least-likely,6620,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0009.tiff,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_001/002_n006115_Mike_Posner/0009.tiff,0.001,0.000856,5658,5658,5658,3.3565133e-11,1,1,0,0
pgd_error_specific,0.001,True,least-likely,1377,3,n006980,"""Philip_Michael_Thomas""",003_n006980_Philip_Michael_Thomas,dataset/clean_cropped/NN1/003_n006980_Philip_Michael_Thomas/0000.tiff,dataset/attacks/NN1/error_specific/pgd/least-likely/eps_0_001/003_n006980_Philip_Michael_Thomas/0000.tiff,0.001,0.000864,6487,6487,6487,1.7554601e-10,1,1,0,0
