attack_type,eps,targeted,target_strategy,target_class,dataset_label,identity_id,identity_name,identity_dir,source_image_path,adversarial_image_path,linf,mean_abs_perturbation,true_facenet_id,clean_pred_class,adv_pred_class,clean_true_class_confidence,adv_true_class_confidence,clean_correct_nn2,adv_correct_nn2,prediction_changed_nn2,transfer_success_nn2
bim_error_generic,0.025,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0000.tiff,dataset/attacks/NN1/error_generic/bim/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0000.tiff,0.004167,0.003109,7185,7185,7185,0.9753343462944031,0.9270715713500977,1,1,0,0
bim_error_generic,0.025,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0001.tiff,dataset/attacks/NN1/error_generic/bim/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0001.tiff,0.004167,0.002852,7185,7185,1168,0.2152068018913269,0.036824870854616165,1,0,1,1
bim_error_generic,0.025,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0002.tiff,dataset/attacks/NN1/error_generic/bim/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0002.tiff,0.004167,0.003172,7185,7185,7185,0.9976246953010559,0.9882610440254211,1,1,0,0
bim_error_generic,0.025,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0003.tiff,dataset/attacks/NN1/error_generic/bim/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0003.tiff,0.004167,0.003234,7185,7185,7185,0.960666298866272,0.8923122882843018,1,1,0,0
bim_error_generic,0.025,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0004.tiff,dataset/attacks/NN1/error_generic/bim/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0004.tiff,0.004167,0.003087,7185,7185,7185,0.9691849946975708,0.8628961443901062,1,1,0,0
bim_error_generic,0.025,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0005.tiff,dataset/attacks/NN1/error_generic/bim/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0005.tiff,0.004167,0.003129,7185,7185,7185,0.8349173069000244,0.6350767612457275,1,1,0,0
bim_error_generic,0.025,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0006.tiff,dataset/attacks/NN1/error_generic/bim/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0006.tiff,0.004167,0.00322,7185,7185,7185,0.9872298836708069,0.9729565978050232,1,1,0,0
bim_error_generic,0.025,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0007.tiff,dataset/attacks/NN1/error_generic/bim/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0007.tiff,0.004167,0.003077,7185,7185,7475,0.8203663229942322,0.2325851023197174,1,0,1,1
bim_error_generic,0.025,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0008.tiff,dataset/attacks/NN1/error_generic/bim/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0008.tiff,0.004167,0.003167,7185,7185,6726,0.5616050958633423,0.055908750742673874,1,0,1,1
bim_error_generic,0.025,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0009.tiff,dataset/attacks/NN1/error_generic/bim/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0009.tiff,0.004167,0.003234,7185,4242,4242,0.1837530881166458,0.04596154764294624,0,0,0,0
